status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,-7,True,False,-10.0,100.0,l1n,ge,0,0.1928,0.9673
success,-2,True,False,-100.0,0.1,l1 l1n linf,lt,0,0.1108,0.6661
success,-3,True,True,-1000.0,1000.0,l1,lt,-5,0.1668,0.924
success,-2,True,True,-1.0,1.0,l1 linf,lt,-1,0.1377,0.7523
success,-6,True,False,-1000.0,1.0,l1n,lt,-5,0.153,0.9678
success,-5,True,False,-100.0,0.1,l1 linf,gt,0,0.159,0.9689
success,3,True,True,-0.1,10.0,linf,ge,0,0.136,0.7949
success,-7,True,False,-1.0,1.0,l1n linf,lt,-5,0.1483,0.9672
success,-9,True,True,-10.0,1.0,l1n,lt,-1,0.1696,0.9646
success,-3,True,False,-1000.0,1.0,linf,gt,5,0.1311,0.9438
success,3,True,True,-1.0,1.0,l1 l1n linf,ge,0,0.1698,0.971
success,6,True,False,-1.0,100.0,linf,ge,0,0.1297,0.3886
success,-8,True,False,-100.0,1000.0,l1n linf,lt,-1,0.1483,0.9672
success,9,True,True,-0.1,1000.0,l1 linf,lt,-5,0.1105,0.7817
success,1,True,False,-1000.0,1000.0,l1n linf,le,0,0.1673,0.9493
success,-1,False,True,-1000.0,100.0,linf,le,0,0.1316,0.6434
success,3,True,True,-1000.0,100.0,l1,le,0,0.1929,0.9673
success,-8,True,False,-10.0,10.0,l1 l1n,lt,-5,0.1929,0.9673
success,1,True,True,-0.1,100.0,l1 linf,gt,5,0.1336,0.8167
success,9,True,True,-10.0,1.0,l1 linf,lt,0,0.1381,0.7517
success,-5,True,False,-1000.0,1000.0,l1n linf,lt,-1,0.1324,0.9316
success,-2,True,False,-100.0,10.0,l1,gt,5,0.1635,0.7781
success,2,True,True,-1000.0,100.0,l1n,ge,0,0.1519,0.9499
success,4,True,False,-1000.0,1.0,l1n linf,lt,-1,0.1483,0.9672
success,6,True,False,-100.0,1000.0,l1 l1n,gt,5,0.1595,0.9678
success,7,True,True,-10.0,1.0,l1n,lt,0,0.1668,0.924
success,-7,True,False,-1000.0,1.0,l1 linf,le,0,0.1808,0.9694
success,5,True,True,-10.0,1000.0,l1 l1n,ge,0,0.1581,0.9678
success,6,True,False,-100.0,100.0,l1,ge,0,0.1583,0.9678
success,-7,True,False,-10.0,10.0,linf,le,0,0.1388,0.6662
success,5,True,True,-1.0,1.0,l1 linf,le,0,0.1607,0.9336
success,-4,True,True,-1.0,100.0,l1 l1n,gt,5,0.1672,0.9218
success,5,True,False,-1.0,100.0,l1 l1n linf,lt,-5,0.1558,0.9633
success,-10,True,True,-1.0,1.0,l1n,ge,0,0.1747,0.953
success,-5,True,False,-10.0,10.0,l1n,gt,0,0.1582,0.9678
success,2,True,True,-1.0,1000.0,l1 l1n linf,lt,-1,0.1532,0.9442
success,7,True,False,-10.0,0.1,linf,lt,-5,0.1416,0.9597
success,-4,True,True,-10.0,1.0,linf,gt,1,0.1348,0.9471
success,-8,True,True,-1000.0,0.1,l1 linf,le,0,0.1643,0.966
success,-10,True,True,-100.0,100.0,l1 l1n,lt,0,0.1519,0.9499
success,-8,True,True,-1.0,10.0,l1n linf,le,0,0.1483,0.9672
success,-10,True,True,-1000.0,100.0,l1 l1n linf,lt,-1,0.158,0.9506
success,-7,True,True,-1.0,10.0,l1n,gt,5,0.1762,0.9697
success,-1,False,False,-1000.0,100.0,l1 linf,lt,0,0.1381,0.7512
success,-5,True,False,-10.0,1000.0,l1,gt,0,0.1558,0.9678
success,4,True,False,-1000.0,10.0,l1n,lt,-5,0.1929,0.9673
success,1,True,False,-1000.0,10.0,l1n linf,le,0,0.1672,0.9492
success,-9,True,False,-0.1,1000.0,l1n,le,0,0.132,0.8259
success,-7,True,True,-10.0,10.0,linf,le,0,0.1388,0.6662
success,-8,True,False,-1000.0,10.0,l1 l1n,gt,1,0.1929,0.9673
success,-9,True,True,-10.0,1.0,linf,le,0,0.1538,0.5698
success,9,True,False,-0.1,10.0,l1,le,0,0.2,0.8234
success,8,True,False,-1.0,100.0,linf,lt,-1,0.1348,0.9422
success,6,True,True,-1000.0,0.1,linf,lt,-1,0.1519,0.967
success,8,True,False,-1.0,10.0,l1,ge,0,0.1672,0.9218
success,-6,True,True,-1.0,10.0,l1n linf,gt,5,0.1324,0.9316
